AvgPts,Ceiling,CeilingPct,Consistency,Floor,FloorPct,ImpPts,OppPlusMinusPct,Plus_Minus,ProjPlusMinusPct,Score,Season_PPG,Season_Plus_Minus,Upside,Vegas,AdjYPA,PassINTPct,PassSackPct,PassTDPct,PassingSuccessfulPct,YardsPerPassingAttempt,ActualPoints
20.5,32.2,83,84,8.8,67,15.54,96,73,87,73.0,17.7,3.1,99,70,6.33,1.3,7.5,4.2,42.93,6.33,8.9
19.1,30.1,67,79,8.1,61,14.84,87,36,79,36.0,14.8,-0.1,98,81,5.29,2.9,6.9,3.4,44.49,6.52,17.4
17.4,28.3,54,18,6.5,26,13.91,8,10,69,10.0,3.8,-10.1,67,17,5.73,0.0,11.5,2.2,49.91,7.35,18.1
21.4,33.0,85,84,9.8,82,18.35,79,86,64,86.0,22.0,4.3,99,86,8.19,1.3,6.3,7.1,41.89,6.33,11.5
21.3,34.8,91,84,7.8,61,16.71,49,93,82,93.0,22.2,5.6,100,66,7.09,1.7,8.2,6.4,50.9,7.37,28.2
20.4,31.5,76,75,9.3,79,18.81,11,79,44,79.0,23.5,3.7,99,57,5.97,2.1,7.3,5.2,46.92,7.6,24.4
19.1,31.2,74,100,7.0,43,16.01,67,68,64,68.0,17.7,2.6,100,44,7.93,0.0,4.3,2.6,48.26,7.52,20.5
17.8,30.4,67,34,5.2,15,14.37,82,25,69,25.0,12.4,-2.0,85,68,6.96,3.2,7.4,6.0,41.58,6.23,13.3
22.8,34.9,93,44,10.7,86,20.21,74,40,56,40.0,21.2,0.3,98,93,7.48,1.3,5.5,5.8,48.55,6.95,30.2
18.2,31.9,78,62,4.5,7,16.01,11,74,51,74.0,20.3,3.1,99,39,6.68,1.8,5.4,4.8,49.83,7.69,11.1
15.2,26.8,33,59,3.6,2,14.37,12,46,35,46.0,16.2,0.8,98,17,7.31,0.6,7.2,4.5,48.61,7.38,9.1
20.5,32.4,84,59,8.6,62,18.81,34,32,45,32.0,19.1,-0.5,92,90,5.32,1.8,7.1,4.5,46.59,7.59,27.7
